location,date,iso_code,total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed,new_cases_per_million,total_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,total_deaths_per_million,new_deaths_smoothed_per_million
Africa,2022-05-01,OWID_AFR,41.0,2.0,2.0,0.0,0.29,0.0,0.001,0.029,0.0,0.0,0.00141,0.0
Africa,2022-05-02,OWID_AFR,41.0,2.0,0.0,0.0,0.29,0.0,0.0,0.029,0.0,0.0,0.00141,0.0
Africa,2022-05-03,OWID_AFR,41.0,2.0,0.0,0.0,0.29,0.0,0.0,0.029,0.0,0.0,0.00141,0.0
Africa,2022-05-04,OWID_AFR,41.0,2.0,0.0,0.0,0.29,0.0,0.0,0.029,0.0,0.0,0.00141,0.0
Africa,2022-05-05,OWID_AFR,41.0,2.0,0.0,0.0,0.29,0.0,0.0,0.029,0.0,0.0,0.00141,0.0
Africa,2022-05-06,OWID_AFR,41.0,2.0,0.0,0.0,0.29,0.0,0.0,0.029,0.0,0.0,0.00141,0.0
Africa,2022-05-07,OWID_AFR,41.0,2.0,0.0,0.0,0.29,0.0,0.0,0.029,0.0,0.0,0.00141,0.0
Africa,2022-05-08,OWID_AFR,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.00141,0.0
Africa,2022-05-09,OWID_AFR,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.00141,0.0
Africa,2022-05-10,OWID_AFR,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.00141,0.0
Africa,2022-05-11,OWID_AFR,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.00141,0.0
Africa,2022-05-12,OWID_AFR,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.00141,0.0
Africa,2022-05-13,OWID_AFR,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.00141,0.0
Africa,2022-05-14,OWID_AFR,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.00141,0.0
Africa,2022-05-15,OWID_AFR,45.0,2.0,4.0,0.0,0.57,0.0,0.003,0.032,0.0,0.0,0.00141,0.0
Africa,2022-05-16,OWID_AFR,45.0,2.0,0.0,0.0,0.57,0.0,0.0,0.032,0.0,0.0,0.00141,0.0
Africa,2022-05-17,OWID_AFR,45.0,2.0,0.0,0.0,0.57,0.0,0.0,0.032,0.0,0.0,0.00141,0.0
Africa,2022-05-18,OWID_AFR,45.0,2.0,0.0,0.0,0.57,0.0,0.0,0.032,0.0,0.0,0.00141,0.0
Africa,2022-05-19,OWID_AFR,45.0,2.0,0.0,0.0,0.57,0.0,0.0,0.032,0.0,0.0,0.00141,0.0
Africa,2022-05-20,OWID_AFR,45.0,2.0,0.0,0.0,0.57,0.0,0.0,0.032,0.0,0.0,0.00141,0.0
Africa,2022-05-21,OWID_AFR,45.0,2.0,0.0,0.0,0.57,0.0,0.0,0.032,0.0,0.0,0.00141,0.0
Africa,2022-05-22,OWID_AFR,47.0,2.0,2.0,0.0,0.29,0.0,0.001,0.033,0.0,0.0,0.00141,0.0
Africa,2022-05-23,OWID_AFR,47.0,2.0,0.0,0.0,0.29,0.0,0.0,0.033,0.0,0.0,0.00141,0.0
Africa,2022-05-24,OWID_AFR,47.0,2.0,0.0,0.0,0.29,0.0,0.0,0.033,0.0,0.0,0.00141,0.0
Africa,2022-05-25,OWID_AFR,47.0,2.0,0.0,0.0,0.29,0.0,0.0,0.033,0.0,0.0,0.00141,0.0
Africa,2022-05-26,OWID_AFR,47.0,2.0,0.0,0.0,0.29,0.0,0.0,0.033,0.0,0.0,0.00141,0.0
Africa,2022-05-27,OWID_AFR,47.0,2.0,0.0,0.0,0.29,0.0,0.0,0.033,0.0,0.0,0.0014,0.0
Africa,2022-05-28,OWID_AFR,47.0,2.0,0.0,0.0,0.29,0.0,0.0,0.033,0.0,0.0,0.0014,0.0
Africa,2022-05-29,OWID_AFR,47.0,2.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0014,0.0
Africa,2022-05-30,OWID_AFR,47.0,2.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0014,0.0
Africa,2022-05-31,OWID_AFR,47.0,2.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0014,0.0
Africa,2022-06-01,OWID_AFR,47.0,2.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0014,0.0
Africa,2022-06-02,OWID_AFR,48.0,2.0,1.0,0.0,0.14,0.0,0.001,0.034,0.0,0.0,0.0014,0.0
Africa,2022-06-03,OWID_AFR,48.0,2.0,0.0,0.0,0.14,0.0,0.0,0.034,0.0,0.0,0.0014,0.0
Africa,2022-06-04,OWID_AFR,48.0,2.0,0.0,0.0,0.14,0.0,0.0,0.034,0.0,0.0,0.0014,0.0
Africa,2022-06-05,OWID_AFR,66.0,3.0,18.0,1.0,2.71,0.14,0.013,0.046,0.002,0.0007,0.00211,0.0001
Africa,2022-06-06,OWID_AFR,66.0,3.0,0.0,0.0,2.71,0.14,0.0,0.046,0.002,0.0,0.00211,0.0001
Africa,2022-06-07,OWID_AFR,66.0,3.0,0.0,0.0,2.71,0.14,0.0,0.046,0.002,0.0,0.00211,0.0001
Africa,2022-06-08,OWID_AFR,66.0,3.0,0.0,0.0,2.71,0.14,0.0,0.046,0.002,0.0,0.00211,0.0001
Africa,2022-06-09,OWID_AFR,66.0,3.0,0.0,0.0,2.57,0.14,0.0,0.046,0.002,0.0,0.00211,0.0001
Africa,2022-06-10,OWID_AFR,66.0,3.0,0.0,0.0,2.57,0.14,0.0,0.046,0.002,0.0,0.00211,0.0001
Africa,2022-06-11,OWID_AFR,66.0,3.0,0.0,0.0,2.57,0.14,0.0,0.046,0.002,0.0,0.00211,0.0001
Africa,2022-06-12,OWID_AFR,83.0,3.0,17.0,0.0,2.43,0.0,0.012,0.058,0.002,0.0,0.00211,0.0
Africa,2022-06-13,OWID_AFR,83.0,3.0,0.0,0.0,2.43,0.0,0.0,0.058,0.002,0.0,0.00211,0.0
Africa,2022-06-14,OWID_AFR,83.0,3.0,0.0,0.0,2.43,0.0,0.0,0.058,0.002,0.0,0.0021,0.0
Africa,2022-06-15,OWID_AFR,83.0,3.0,0.0,0.0,2.43,0.0,0.0,0.058,0.002,0.0,0.0021,0.0
Africa,2022-06-16,OWID_AFR,83.0,3.0,0.0,0.0,2.43,0.0,0.0,0.058,0.002,0.0,0.0021,0.0
Africa,2022-06-17,OWID_AFR,83.0,3.0,0.0,0.0,2.43,0.0,0.0,0.058,0.002,0.0,0.0021,0.0
Africa,2022-06-18,OWID_AFR,83.0,3.0,0.0,0.0,2.43,0.0,0.0,0.058,0.002,0.0,0.0021,0.0
Africa,2022-06-19,OWID_AFR,95.0,3.0,12.0,0.0,1.71,0.0,0.008,0.067,0.001,0.0,0.0021,0.0
Africa,2022-06-20,OWID_AFR,95.0,3.0,0.0,0.0,1.71,0.0,0.0,0.067,0.001,0.0,0.0021,0.0
Africa,2022-06-21,OWID_AFR,95.0,3.0,0.0,0.0,1.71,0.0,0.0,0.067,0.001,0.0,0.0021,0.0
Africa,2022-06-22,OWID_AFR,95.0,3.0,0.0,0.0,1.71,0.0,0.0,0.067,0.001,0.0,0.0021,0.0
